rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
98,frame_0072.jpg,28.8,0.5679,0.6024,0.2222,1.0,8,2,False,False
99,frame_0202.jpg,80.8,0.5678,0.6956,0.3333,0.6,7,3,False,False
100,frame_0330.jpg,132.0,0.5675,0.7189,0.6667,0.04,11,6,False,False
101,frame_0123.jpg,49.2,0.5664,0.6101,0.4444,0.64,9,4,False,False
102,frame_0225.jpg,90.0,0.5661,0.7002,0.6667,0.08,10,6,False,False
103,frame_0203.jpg,81.2,0.566,0.6761,0.3333,0.64,8,3,False,False
104,frame_0095.jpg,38.0,0.5657,0.7341,0.5556,0.16,11,5,False,False
105,frame_0390.jpg,156.0,0.5652,0.6983,0.6667,0.08,10,6,False,False
106,frame_0376.jpg,150.4,0.5647,0.732,0.5556,0.16,10,5,False,False
107,frame_0299.jpg,119.6,0.5641,0.7202,0.3333,0.52,7,3,False,False
108,frame_0231.jpg,92.4,0.5604,0.7234,0.5556,0.16,9,5,False,False
109,frame_0297.jpg,118.8,0.5593,0.6787,0.3333,0.6,6,3,False,False
110,frame_0387.jpg,154.8,0.559,0.7046,0.5556,0.2,12,5,False,False
111,frame_0293.jpg,117.2,0.5579,0.6118,0.3333,0.76,6,3,False,False
112,frame_0379.jpg,151.6,0.5572,0.8318,0.4444,0.04,11,4,False,False
113,frame_0229.jpg,91.6,0.557,0.8153,0.4444,0.08,11,4,False,False
114,frame_0019.jpg,7.6,0.5562,0.5124,0.3333,1.0,5,3,False,False
115,frame_0324.jpg,129.6,0.5558,0.7462,0.5556,0.08,11,5,False,False
116,frame_0008.jpg,3.2,0.5556,0.5778,0.2222,1.0,4,2,False,False
117,frame_0024.jpg,9.6,0.5549,0.5099,0.3333,1.0,8,3,False,False
118,frame_0025.jpg,10.0,0.5529,0.4392,0.4444,1.0,9,4,False,False
119,frame_0177.jpg,70.8,0.5527,0.7588,0.4444,0.2,10,4,False,False
120,frame_0399.jpg,159.6,0.5525,0.8597,0.2222,0.28,8,2,False,False
121,frame_0167.jpg,66.8,0.5515,0.5964,0.4444,0.6,7,4,False,False
122,frame_0011.jpg,4.4,0.5487,0.4974,0.3333,1.0,5,3,False,False
123,frame_0120.jpg,48.0,0.5485,0.689,0.3333,0.52,10,3,False,False
124,frame_0268.jpg,107.2,0.5478,0.7969,0.4444,0.08,8,4,False,False
125,frame_0230.jpg,92.0,0.5467,0.912,0.2222,0.12,14,2,False,False
126,frame_0084.jpg,33.6,0.544,0.6481,0.3333,0.6,8,3,False,False
127,frame_0274.jpg,109.6,0.5427,0.7547,0.4444,0.16,10,4,False,False
128,frame_0278.jpg,111.2,0.5405,0.6863,0.4444,0.32,8,4,False,False
129,frame_0094.jpg,37.6,0.5402,0.6671,0.5556,0.2,11,5,False,False
130,frame_0333.jpg,133.2,0.5391,0.7795,0.4444,0.08,11,4,False,False
131,frame_0212.jpg,84.8,0.5388,0.571,0.4444,0.6,8,4,False,False
132,frame_0096.jpg,38.4,0.5386,0.6958,0.5556,0.12,10,5,False,False
133,frame_0168.jpg,67.2,0.5374,0.7174,0.2222,0.56,6,2,False,False
134,frame_0179.jpg,71.6,0.5372,0.6263,0.6667,0.12,9,6,False,False
135,frame_0109.jpg,43.6,0.537,0.5754,0.7778,0.08,12,7,False,False
136,frame_0200.jpg,80.0,0.5365,0.665,0.3333,0.52,4,3,False,False
137,frame_0083.jpg,33.2,0.5357,0.4821,0.5556,0.64,10,5,False,False
138,frame_0172.jpg,68.8,0.5347,0.6428,0.4444,0.4,8,4,False,False
139,frame_0189.jpg,75.6,0.5344,0.7034,0.5556,0.08,6,5,False,False
140,frame_0113.jpg,45.2,0.5339,0.7052,0.4444,0.24,6,4,False,False
141,frame_0320.jpg,128.0,0.5337,0.7714,0.3333,0.24,10,3,False,False
142,frame_0105.jpg,42.0,0.5328,0.5002,0.8889,0.08,11,8,False,False
143,frame_0321.jpg,128.4,0.5311,0.7155,0.4444,0.2,9,4,False,False
144,frame_0298.jpg,119.2,0.5282,0.6324,0.3333,0.56,6,3,False,False
145,frame_0110.jpg,44.0,0.5281,0.6081,0.6667,0.12,10,6,False,False
146,frame_0204.jpg,81.6,0.5281,0.7175,0.1111,0.68,7,1,False,False
147,frame_0091.jpg,36.4,0.5268,0.659,0.4444,0.32,8,4,False,False
148,frame_0316.jpg,126.4,0.5261,0.7216,0.4444,0.16,10,4,False,False
149,frame_0375.jpg,150.0,0.5247,0.5693,0.6667,0.2,10,6,False,False
150,frame_0386.jpg,154.4,0.5245,0.6864,0.4444,0.24,9,4,False,False
151,frame_0275.jpg,110.0,0.5233,0.7,0.4444,0.2,10,4,False,False
152,frame_0119.jpg,47.6,0.5229,0.6539,0.3333,0.48,9,3,False,False
153,frame_0373.jpg,149.2,0.5229,0.6485,0.5556,0.16,9,5,False,False
154,frame_0124.jpg,49.6,0.5221,0.5723,0.3333,0.68,11,3,False,False
155,frame_0015.jpg,6.0,0.5213,0.5093,0.2222,1.0,5,2,False,False
156,frame_0273.jpg,109.2,0.5196,0.7245,0.4444,0.12,9,4,False,False
157,frame_0070.jpg,28.0,0.5164,0.4995,0.2222,1.0,10,2,False,False
158,frame_0224.jpg,89.6,0.5146,0.7812,0.3333,0.12,9,3,False,False
159,frame_0071.jpg,28.4,0.5142,0.4951,0.2222,1.0,10,2,False,False
160,frame_0178.jpg,71.2,0.5142,0.7645,0.3333,0.16,8,3,False,False
161,frame_0100.jpg,40.0,0.5118,0.6743,0.5556,0.04,8,5,False,False
162,frame_0367.jpg,146.8,0.5106,0.7226,0.4444,0.08,8,4,False,False
163,frame_0306.jpg,122.4,0.5096,0.7232,0.3333,0.24,9,3,False,False
164,frame_0378.jpg,151.2,0.5095,0.6536,0.5556,0.08,10,5,False,False
165,frame_0215.jpg,86.0,0.5086,0.6252,0.3333,0.48,6,3,False,False
166,frame_0267.jpg,106.8,0.507,0.7661,0.3333,0.12,6,3,False,False
167,frame_0233.jpg,93.2,0.5048,0.5803,0.5556,0.24,9,5,False,False
168,frame_0216.jpg,86.4,0.5047,0.6334,0.3333,0.44,7,3,False,False
169,frame_0118.jpg,47.2,0.5031,0.6969,0.2222,0.44,10,2,False,False
170,frame_0009.jpg,3.6,0.5024,0.4714,0.2222,1.0,4,2,False,False
171,frame_0319.jpg,127.6,0.5002,0.6884,0.3333,0.28,10,3,False,False
172,frame_0125.jpg,50.0,0.4998,0.4449,0.4444,0.72,9,4,False,False
173,frame_0372.jpg,148.8,0.4995,0.6176,0.5556,0.12,10,5,False,False
174,frame_0087.jpg,34.8,0.4976,0.5365,0.4444,0.48,8,4,False,False
175,frame_0170.jpg,68.0,0.4958,0.5996,0.3333,0.48,11,3,False,False
176,frame_0012.jpg,4.8,0.4957,0.458,0.2222,1.0,5,2,False,False
177,frame_0020.jpg,8.0,0.4942,0.455,0.2222,1.0,6,2,False,False
178,frame_0184.jpg,73.6,0.4919,0.8185,0.2222,0.08,8,2,False,False
179,frame_0112.jpg,44.8,0.4909,0.7019,0.3333,0.2,6,3,False,False
180,frame_0332.jpg,132.8,0.4902,0.6978,0.4444,0.04,12,4,False,False
181,frame_0304.jpg,121.6,0.4876,0.5805,0.4444,0.32,11,4,False,False
182,frame_0325.jpg,130.0,0.4856,0.7553,0.3333,0.04,10,3,False,False
183,frame_0214.jpg,85.6,0.4849,0.6284,0.2222,0.52,7,2,False,False
184,frame_0394.jpg,157.6,0.4846,0.8038,0.2222,0.08,9,2,False,False
185,frame_0169.jpg,67.6,0.4841,0.5602,0.3333,0.52,8,3,False,False
186,frame_0314.jpg,125.6,0.4836,0.7353,0.3333,0.08,8,3,False,False
187,frame_0188.jpg,75.2,0.4825,0.5489,0.6667,0.04,12,6,False,False
188,frame_0322.jpg,128.8,0.4768,0.4896,0.6667,0.16,9,6,False,False
189,frame_0171.jpg,68.4,0.4761,0.7762,0.0,0.44,9,0,False,False
190,frame_0305.jpg,122.0,0.4759,0.6399,0.3333,0.28,7,3,False,False
191,frame_0228.jpg,91.2,0.4753,0.6012,0.5556,0.04,10,5,False,False
192,frame_0276.jpg,110.4,0.4752,0.6544,0.3333,0.24,7,3,False,False
193,frame_0309.jpg,123.6,0.475,0.6353,0.4444,0.12,7,4,False,False
194,frame_0284.jpg,113.6,0.473,0.6553,0.1111,0.56,6,1,False,False
195,frame_0219.jpg,87.6,0.4722,0.7497,0.1111,0.32,6,1,False,False
196,frame_0122.jpg,48.8,0.472,0.504,0.3333,0.6,7,3,False,False
197,frame_0195.jpg,78.0,0.4712,0.481,0.5556,0.32,7,5,False,False
198,frame_0388.jpg,155.2,0.4711,0.6783,0.3333,0.16,10,3,False,False
199,frame_0368.jpg,147.2,0.4708,0.6589,0.4444,0.04,12,4,False,False
200,frame_0220.jpg,88.0,0.4675,0.6896,0.2222,0.28,7,2,False,False
201,frame_0102.jpg,40.8,0.4635,0.6791,0.3333,0.12,8,3,False,False
202,frame_0391.jpg,156.4,0.4626,0.6426,0.4444,0.04,10,4,False,False
203,frame_0103.jpg,41.2,0.4617,0.5928,0.4444,0.16,8,4,False,False
204,frame_0381.jpg,152.4,0.4578,0.633,0.4444,0.04,11,4,False,False
205,frame_0295.jpg,118.0,0.4542,0.4365,0.3333,0.68,8,3,False,False
206,frame_0371.jpg,148.4,0.4536,0.6086,0.4444,0.08,8,4,False,False
207,frame_0197.jpg,78.8,0.4509,0.6085,0.2222,0.4,3,2,False,False
208,frame_0285.jpg,114.0,0.4445,0.5824,0.1111,0.6,8,1,False,False
209,frame_0132.jpg,52.8,0.4435,0.3537,0.2222,1.0,10,2,False,False
210,frame_0174.jpg,69.6,0.4395,0.6176,0.2222,0.32,9,2,False,False
211,frame_0395.jpg,158.0,0.4378,0.6942,0.2222,0.12,8,2,False,False
212,frame_0115.jpg,46.0,0.4373,0.6799,0.1111,0.32,6,1,False,False
213,frame_0183.jpg,73.2,0.4348,0.6536,0.3333,0.04,6,3,False,False
214,frame_0232.jpg,92.8,0.4342,0.455,0.5556,0.2,9,5,False,False
215,frame_0384.jpg,153.6,0.4335,0.5364,0.4444,0.16,9,4,False,False
216,frame_0296.jpg,118.4,0.4321,0.4748,0.2222,0.64,7,2,False,False
217,frame_0201.jpg,80.4,0.4313,0.5053,0.2222,0.56,6,2,False,False
218,frame_0217.jpg,86.8,0.4296,0.4992,0.3333,0.4,7,3,False,False
219,frame_0393.jpg,157.2,0.4295,0.7097,0.2222,0.04,11,2,False,False
220,frame_0193.jpg,77.2,0.4286,0.5613,0.3333,0.24,9,3,False,False
221,frame_0181.jpg,72.4,0.4277,0.6394,0.3333,0.04,8,3,False,False
222,frame_0271.jpg,108.4,0.4253,0.6347,0.3333,0.04,7,3,False,False
